de, en
anfangen, to begin
anziehen, to put on
aufhören, to stop
aufmachen, to open
aufräumen, to tidy up
aufstehen, to get up
bedienen, to serve
beschreiben, to describe
bringen, to bring
dürfen, to be allowed to
duschen, to shower
einkaufen, to shop
einladen, to invite
feiern, to celebrate
fernsehen, to watch tv
fotografieren, to photograph
frühstücken, to have breakfast
holen, to fetch
kontrollieren, to check
können, can
messen, to measure
mitbringen, to bring along
mitkommen, to come along
müssen, to have to
ordnen, to organize
Rad fahren, to cycle
rauchen, to smoke
schlafen, to sleep
schneiden, to cut
schwimmen, to swim
sehen, to see
spazieren gehen, to go for a walk
stattfinden, to take place
stören, to disturb
tanzen, to dance
treffen, to meet
vergessen, to forget
vergleichen, to compare
vorbereiten, to prepare
vorhaben, to plan
zeichnen, to draw
zuhören, to listen to
r Abend -e, evening
e Ansichtskarte -n, postcard
e Arbeit -en, job
r Ausflug -¨e, excursion
r Bäcker, baker
e Bank -en, bank
e Bar -s, bar
e Bibliothek -en, library
s Buch -¨er, book
s Café -s, coffee shop
e Diskothek -en, disco
r Donnerstag -e, thursday
e Dusche -n, shower
r Eintritt, entry
s Essen, food
s Fernsehen, tv
s Fieber, fever
r Film -e, movie
r Freitag -e, friday
e Freizeit, leisure
e Frisörin -nen, female hairdresser
r Frisör -e, male hairdresser
r Gast -¨e, guest
r Gruß -¨e, greeting
r Juli, july
e Kellnerin -nen, waitress
r Kellner -, waiter
s Kino, cinema
s Kleid -er, dress
s Konzert -e, concert
s Krankenhaus -¨er, hospital
e Krankenschwester -n, nurse
e Lehrerin -nen, female teacher
r Lehrer -, teacher
e Mannschaft -en, team
e Maschine -n, machine
s Meer -e, sea
r Mensch -en, human
r Mittag -e, midday
s Mittagessen -, lunch
r Mittwoch -e, wednesday
r Montag -e, monday
e Musik, music
r Passagier -e, passenger
e Pause -n, break
s Restaurant -s, restaurant
r Samstag, saturday
r Satz -¨e, sentence
s Schild -er, sign
s Schwimmbad -¨er, swimming pool
e Situation -en, situation
r Sonnabend -e, saturday
s Sonnenbad -¨er, sunbath
r Sonntag, sunday
r Spaziergang -¨e, walk
r Tanz -¨e, dance
e Torte -n, cake
e Uhrzeit -en, time of day
r Verband -¨e, association
s Viertel -, quarter
r Vortrag -¨e, lecture
e Wohnung -en, apartment
e Zeitung -en, newspaper
e Zigarette -n, cigarette
früh, early
geöffnet, open
geschlossen, closed
herrlich, gloriously
herzlich, warmly
leise, quietly
lieb, dear
nächst-, next
nett, kind
obligatorisch, obligatory
spät, late
verboten, forbidden
eben, just
heute, today
meistens, mostly
morgen, tomorrow
nie, never
selbst, even
vielleicht, maybe
also, so
auf, on
bis, to
gegen, versus
jemand, someone
nach, to
selbst, self
wann, when
warum, why
wie lang, how long
zwischen, between
Achtung, caution
Betten machen, make beds
das nächste Mal, the next time
freihaben, spare
leidtun, power
los sein, be rid of
Lust haben, to feel like
Pause machen, make break
Schön, nice
spät sen, be late
Tschüss, bye
