de, en
antworten, to answer
bekommen, to get
bieten, to offer
entscheiden, to decide
entschuldigen, to apologize
fahren, to drive
funktionieren, to function
gehen, to walk
können, can
korrigieren, to correct
kosten, to cost
sagen, to say
spülen, to wash (dishes)
stimmen, to vote
waschen, to wash (laundry)
wechseln, to switch
e Antwort -en, answer
s Auto -s, car
e Batterie -n, battery
s Benzin, gas
s Bett -en, bed
s Bild -er, picture
r Fehler -, error
r Fernsehapparat -e, television set
s Foto -s, photo
s Geld, money
s Geschäft -e, business
e Gruppe -n, group
s Haus -¨er, house
s Handy -s, cellphone
r Haushalt -e, household
r Herd -e, stove
e Idee -n, idea
e Kamera -s, camera
e Karte -n, card
e Kassette -n, cassette
e Küche -n, kitchen
r Kugelschreiber -, pen
r Kühlschrank -¨e, fridge
e Lampe -n, lamp
e Minute -n, minute
e Person -en, person
s Problem -e, problem
s Programm -e, program
s Radio -s, radio
s Regal -e, shelf
r Schrank -¨e
e Steckdose -n, socket
r Stecker -, plug
r Stuhl -¨e, chair
r Tisch -e, table
r Topf -¨e, pot
e Uhr -en, clock
s Waschbecken -, sink
e Waschmaschine -n, washing machine
r Wasserhahn -¨e, tap
r Wert -e, value
s Wort -¨er, word
e Zeit, time
ähnlich, similar
bequem, comfortable
ehrlich, honest
kaputt, broken
leer, empty
lustig, funny
modern, modern
originell, original
praktisch, practical
auch, also
heute, today
sehr, very
viel, much
es, it
oder, or
sanders, rather
zu, to
